conname,table_name,references_table,column_name
attachments_uploaded_by_fkey,attachments,users,uploaded_by
fk_attachments_company_id,attachments,companies,company_id
attachments_pkey,attachments,-,id
valid_contact_method,business_settings,-,preferred_contact_method
business_settings_pkey,business_settings,-,id
business_settings_company_id_key,business_settings,-,company_id
business_settings_company_id_fkey,business_settings,companies,company_id
valid_timezone,business_settings,-,timezone
valid_currency,business_settings,-,currency
valid_time_format,business_settings,-,time_format
companies_pkey,companies,-,id
companies_email_unique,companies,-,email
company_approval_settings_pkey,company_approval_settings,-,id
company_approval_settings_company_id_key,company_approval_settings,-,company_id
company_approval_settings_company_id_fkey,company_approval_settings,companies,company_id
company_customers_company_id_customer_id_key,company_customers,-,customer_id
company_customers_company_id_fkey,company_customers,companies,company_id
company_customers_company_id_customer_id_key,company_customers,-,company_id
company_customers_customer_id_fkey,company_customers,customers,customer_id
company_customers_company_id_customer_id_unique,company_customers,-,customer_id
company_customers_company_id_customer_id_unique,company_customers,-,company_id
company_customers_pkey,company_customers,-,id
company_document_templates_pkey,company_document_templates,-,id
company_document_templates_company_id_fkey,company_document_templates,companies,company_id
company_service_tags_company_id_service_tag_id_key,company_service_tags,-,company_id
company_service_tags_service_tag_id_fkey,company_service_tags,service_tags,service_tag_id
company_service_tags_company_id_service_tag_id_key,company_service_tags,-,service_tag_id
company_service_tags_pkey,company_service_tags,-,id
company_service_tags_company_id_fkey,company_service_tags,companies,company_id
company_settings_pkey,company_settings,-,id
company_settings_default_invoice_terms_check,company_settings,-,default_invoice_terms
company_settings_company_id_fkey,company_settings,companies,company_id
company_settings_default_invoice_due_days_check,company_settings,-,default_invoice_due_days
contractor_ratings_work_order_id_fkey,contractor_ratings,work_orders,work_order_id
contractor_ratings_company_id_fkey,contractor_ratings,companies,company_id
contractor_ratings_customer_id_fkey,contractor_ratings,customers,customer_id
contractor_ratings_pkey,contractor_ratings,-,id
contractor_ratings_rating_check,contractor_ratings,-,rating
coupons_company_id_fkey,coupons,companies,company_id
coupons_code_key,coupons,-,code
coupons_pkey,coupons,-,id
coupons_discount_type_check,coupons,-,discount_type
customer_addresses_address_type_check,customer_addresses,-,address_type
customer_addresses_pkey,customer_addresses,-,id
customer_addresses_customer_id_fkey,customer_addresses,customers,customer_id
fk_customer_portal_customer,customer_portal_accounts,customers,customer_id
customer_portal_accounts_auth_user_id_key,customer_portal_accounts,-,auth_user_id
customer_portal_accounts_invited_by_fkey,customer_portal_accounts,companies,invited_by
customer_portal_accounts_created_via_check,customer_portal_accounts,-,created_via
customer_portal_accounts_pkey,customer_portal_accounts,-,id
customer_portal_accounts_auth_user_fk,customer_portal_accounts,auth.users,auth_user_id
customer_portal_accounts_customer_id_fkey,customer_portal_accounts,customers,customer_id
customer_reviews_pkey,customer_reviews,-,id
customer_reviews_customer_id_fkey,customer_reviews,customers,customer_id
customer_reviews_rating_check,customer_reviews,-,rating
customer_reviews_company_fk,customer_reviews,companies,company_id
customer_signatures_customer_id_fkey,customer_signatures,customers,customer_id
customer_signatures_pkey,customer_signatures,-,id
customer_signatures_work_order_id_fkey,customer_signatures,work_orders,work_order_id
customers_company_id_fkey,customers,companies,company_id
customers_pkey,customers,-,id
customers_status_check,customers,-,status
customers_portal_account_id_fkey,customers,customer_portal_accounts,portal_account_id
customers_customer_type_check,customers,-,customer_type
customers_portal_account_fk,customers,customer_portal_accounts,portal_account_id
customers_preferred_tech_id_fkey,customers,users,preferred_technician
customers_status_history_customer_id_fkey,customers_status_history,customers,customer_id
customers_status_history_pkey,customers_status_history,-,id
default_expense_categories_pkey,default_expense_categories,-,id
document_access_log_user_id_fkey,document_access_log,users,user_id
document_access_log_document_id_fkey,document_access_log,documents,document_id
