table_name,trigger_name,trigger_type,event,definition
companies,trigger_set_company_number,BEFORE,INSERT,EXECUTE FUNCTION set_company_number()
companies,update_companies_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
company_settings,update_company_settings_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
customer_addresses,update_customer_addresses_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
customer_equipment,update_customer_equipment_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
customers,update_customers_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
employee_timesheets,update_employee_timesheets_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
employees,update_employees_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
inventory_items,update_inventory_items_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
inventory_stock,update_inventory_stock_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
invoices,trg_auto_invoice_number,BEFORE,INSERT,EXECUTE FUNCTION auto_generate_invoice_number()
invoices,update_invoices_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
marketplace_requests,update_marketplace_requests_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
marketplace_responses,update_marketplace_responses_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
payments,update_payments_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
payroll_runs,update_payroll_runs_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
profiles,trigger_update_profiles_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_profiles_updated_at()
profiles,update_profiles_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
purchase_orders,update_purchase_orders_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
rate_cards,update_rate_cards_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
recurring_schedules,update_recurring_schedules_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
schedule_events,update_schedule_events_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
service_address_tax_rates,update_service_address_tax_rates_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
service_agreements,update_service_agreements_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
tax_exemptions,update_tax_exemptions_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
tax_jurisdictions,update_tax_jurisdictions_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
tools,update_tools_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
user_dashboard_settings,trigger_user_dashboard_settings_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_user_dashboard_settings_updated_at()
users,update_users_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
vendors,update_vendors_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
work_order_products,update_work_order_products_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
work_order_services,update_work_order_services_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
work_order_tasks,update_work_order_tasks_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
work_orders,update_work_orders_updated_at,BEFORE,UPDATE,EXECUTE FUNCTION update_updated_at_column()
