enum_type,value
alert_severity_enum,info
alert_severity_enum,warning
alert_severity_enum,error
alert_severity_enum,critical
alert_severity_enum,emergency
audit_action_enum,insert
audit_action_enum,update
audit_action_enum,delete
audit_action_enum,login
audit_action_enum,logout
audit_action_enum,permission_change
audit_action_enum,export
audit_action_enum,import
audit_action_enum,backup
audit_action_enum,restore
bid_status_enum,draft
bid_status_enum,submitted
bid_status_enum,under_review
bid_status_enum,accepted
bid_status_enum,rejected
bid_status_enum,withdrawn
bid_status_enum,expired
certification_status_enum,active
certification_status_enum,expired
certification_status_enum,pending_renewal
certification_status_enum,suspended
certification_status_enum,revoked
customer_type_enum,residential
customer_type_enum,commercial
customer_type_enum,industrial
customer_type_enum,government
document_type_enum,quote
document_type_enum,invoice
document_type_enum,receipt
document_type_enum,contract
document_type_enum,permit
document_type_enum,warranty
document_type_enum,photo
document_type_enum,other
employee_status_enum,probation
employee_status_enum,active
employee_status_enum,inactive
employee_status_enum,suspended
employee_status_enum,terminated
employee_status_enum,on_leave
employee_status_enum,retired
escrow_status_enum,pending
escrow_status_enum,funded
escrow_status_enum,held
escrow_status_enum,released_to_contractor
escrow_status_enum,refunded_to_customer
escrow_status_enum,disputed
expense_type_enum,labor
expense_type_enum,material
expense_type_enum,equipment
expense_type_enum,subcontractor
expense_type_enum,permit
expense_type_enum,travel
expense_type_enum,fuel
expense_type_enum,insurance
expense_type_enum,overhead
expense_type_enum,training
expense_type_enum,other
inventory_movement_type_enum,purchase
inventory_movement_type_enum,sale
inventory_movement_type_enum,transfer
inventory_movement_type_enum,adjustment
inventory_movement_type_enum,return
inventory_movement_type_enum,waste
inventory_movement_type_enum,theft
inventory_movement_type_enum,damage
inventory_movement_type_enum,warranty_replacement
invoice_status_enum,draft
invoice_status_enum,sent
invoice_status_enum,viewed
invoice_status_enum,partially_paid
invoice_status_enum,paid
invoice_status_enum,overdue
invoice_status_enum,disputed
invoice_status_enum,written_off
invoice_status_enum,cancelled
job_template_type_enum,installation
job_template_type_enum,repair
job_template_type_enum,maintenance
job_template_type_enum,inspection
job_template_type_enum,diagnostic
job_template_type_enum,emergency
job_template_type_enum,warranty
job_template_type_enum,upgrade
marketplace_request_status_enum,draft
marketplace_request_status_enum,posted
marketplace_request_status_enum,bidding_open
marketplace_request_status_enum,bidding_closed
marketplace_request_status_enum,contractor_selected
marketplace_request_status_enum,work_in_progress
marketplace_request_status_enum,completed
marketplace_request_status_enum,cancelled
marketplace_request_status_enum,disputed
message_type_enum,email
message_type_enum,sms
message_type_enum,in_app
message_type_enum,system
message_type_enum,webhook
notification_status_enum,pending
notification_status_enum,sent
notification_status_enum,delivered
notification_status_enum,read
notification_status_enum,clicked
notification_status_enum,failed
notification_status_enum,bounced
