table_name,column_name,data_type,is_nullable,column_default
audit_logs,id,uuid,NO,gen_random_uuid()
audit_logs,company_id,uuid,YES,null
audit_logs,user_id,uuid,YES,null
audit_logs,table_name,text,NO,null
audit_logs,record_id,uuid,YES,null
audit_logs,action,USER-DEFINED,NO,null
audit_logs,old_values,jsonb,YES,null
audit_logs,new_values,jsonb,YES,null
audit_logs,ip_address,inet,YES,null
audit_logs,user_agent,text,YES,null
audit_logs,created_at,timestamp with time zone,YES,now()
billing_plans,id,uuid,NO,gen_random_uuid()
billing_plans,name,text,NO,null
billing_plans,description,text,YES,null
billing_plans,price_monthly,numeric,NO,null
billing_plans,price_yearly,numeric,YES,null
billing_plans,features,jsonb,YES,'{}'::jsonb
billing_plans,max_users,integer,YES,1
billing_plans,max_work_orders,integer,YES,null
billing_plans,is_active,boolean,YES,true
billing_plans,created_at,timestamp with time zone,YES,now()
change_order_items,id,uuid,NO,gen_random_uuid()
change_order_items,company_id,uuid,NO,null
change_order_items,change_order_id,uuid,NO,null
change_order_items,item_type,text,NO,null
change_order_items,description,text,NO,null
change_order_items,category,text,YES,null
change_order_items,quantity,numeric,NO,1
change_order_items,unit_price,numeric,NO,0
change_order_items,total,numeric,NO,0
change_order_items,sort_order,integer,YES,0
change_order_items,created_at,timestamp with time zone,NO,now()
change_orders,id,uuid,NO,gen_random_uuid()
change_orders,company_id,uuid,NO,null
change_orders,work_order_id,uuid,NO,null
change_orders,change_order_number,text,NO,null
change_orders,title,text,NO,null
change_orders,description,text,YES,null
change_orders,reason,text,YES,null
change_orders,status,text,NO,'draft'::text
change_orders,subtotal,numeric,NO,0
change_orders,discount_amount,numeric,YES,0
change_orders,tax_rate,numeric,YES,0
change_orders,tax_amount,numeric,YES,0
change_orders,total_amount,numeric,NO,0
change_orders,requested_by,uuid,YES,null
change_orders,approved_by_name,text,YES,null
change_orders,approved_by_email,text,YES,null
change_orders,signature_id,uuid,YES,null
change_orders,signature_data,text,YES,null
change_orders,created_at,timestamp with time zone,NO,now()
change_orders,sent_at,timestamp with time zone,YES,null
change_orders,approved_at,timestamp with time zone,YES,null
change_orders,rejected_at,timestamp with time zone,YES,null
change_orders,updated_at,timestamp with time zone,NO,now()
companies,id,uuid,NO,gen_random_uuid()
companies,company_number,text,NO,generate_company_number()
companies,name,text,NO,null
companies,legal_name,text,YES,null
companies,tax_id,text,YES,null
companies,phone,text,YES,null
companies,email,text,YES,null
companies,website,text,YES,null
companies,address_line1,text,YES,null
companies,address_line2,text,YES,null
companies,city,text,YES,null
companies,state_province,text,YES,null
companies,postal_code,text,YES,null
companies,country,text,YES,'US'::text
companies,time_zone,text,YES,'UTC'::text
companies,currency,text,YES,'USD'::text
companies,is_active,boolean,YES,true
companies,created_at,timestamp with time zone,YES,now()
companies,updated_at,timestamp with time zone,YES,now()
companies,default_tax_rate,numeric,YES,0.0875
companies,created_by,uuid,YES,null
companies,tagline,text,YES,null
companies,logo_url,text,YES,null
companies,industry,text,YES,null
companies,industry_tags,ARRAY,YES,null
company_settings,id,uuid,NO,gen_random_uuid()
company_settings,company_id,uuid,YES,null
company_settings,business_hours,jsonb,YES,"'{""monday"": {""open"": ""08:00"", ""close"": ""17:00""}}'::jsonb"
company_settings,default_tax_rate,numeric,YES,0.0000
company_settings,invoice_terms,text,YES,'NET30'::text
company_settings,auto_invoice,boolean,YES,false
company_settings,require_signatures,boolean,YES,true
company_settings,allow_online_payments,boolean,YES,true
company_settings,emergency_rate_multiplier,numeric,YES,1.50
company_settings,travel_charge_per_mile,numeric,YES,0.65
company_settings,minimum_travel_charge,numeric,YES,25.00
company_settings,cancellation_fee,numeric,YES,50.00
company_settings,transparency_mode,boolean,YES,true
company_settings,created_at,timestamp with time zone,YES,now()
company_settings,updated_at,timestamp with time zone,YES,now()
company_settings,onboarding_progress,jsonb,YES,"'{""steps"": {""1"": {""name"": ""Company Basics"", ""completed"": false, ""completed_at"": null}, ""2"": {""name"": ""Services & Pricing"", ""completed"": false, ""completed_at"": null}, ""3"": {""name"": ""Team Setup"", ""completed"": false, ""completed_at"": null}, ""4"": {""name"": ""Business Preferences"", ""completed"": false, ""completed_at"": null}, ""5"": {""name"": ""Financial Setup"", ""completed"": false, ""completed_at"": null}, ""6"": {""name"": ""Go Live"", ""completed"": false, ""completed_at"": null}}, ""skipped"": false, ""started_at"": null, ""completed_at"": null, ""current_step"": 1, ""completed_steps"": []}'::jsonb"
company_settings,timezone,text,YES,'America/New_York'::text
company_settings,display_name,text,YES,null
company_settings,labor_rate,numeric,YES,75.00
company_settings,overtime_multiplier,numeric,YES,1.5
company_settings,parts_markup,numeric,YES,25.00
customer_addresses,id,uuid,NO,gen_random_uuid()
customer_addresses,customer_id,uuid,YES,null
customer_addresses,address_type,text,YES,'SERVICE'::text
