schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check
public,approval_settings,company_approval_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,approval_settings,company_approval_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,approval_settings,company_approval_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,approval_settings,company_approval_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,audit_logs,company_audit_logs_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,audit_logs,company_audit_logs_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,audit_logs,company_audit_logs_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,audit_logs,company_audit_logs_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,change_order_items,company_change_order_items_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,change_order_items,company_change_order_items_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,change_order_items,company_change_order_items_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,change_order_items,company_change_order_items_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,change_orders,company_change_orders_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,change_orders,company_change_orders_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,change_orders,company_change_orders_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,change_orders,company_change_orders_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,companies,anon_view_companies_for_quotes,PERMISSIVE,{anon},SELECT,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.company_id = companies.id) AND (work_orders.status = 'sent'::work_order_status_enum))))",null
public,companies,companies_delete_admin,PERMISSIVE,{public},DELETE,is_super_admin(),null
public,companies,companies_insert_admin,PERMISSIVE,{public},INSERT,null,is_super_admin()
public,companies,companies_select_own,PERMISSIVE,{public},SELECT,(id = user_company_id()),null
public,companies,companies_update_own,PERMISSIVE,{public},UPDATE,(id = user_company_id()),(id = user_company_id())
