table_schema,table_name,column_name
public,attachments,company_id
public,attachments,id
public,attachments,job_id
public,business_settings,company_id
public,business_settings,id
public,closed_jobs,customer_id
public,closed_jobs,work_order_id
public,closed_jobs,company_id
public,companies,id
public,companies,tax_id
public,company_approval_settings,company_id
public,company_approval_settings,id
public,company_document_templates,id
public,company_document_templates,company_id
public,company_service_tags,company_id
public,company_service_tags,service_tag_id
public,company_service_tags,id
public,company_settings,company_id
public,company_settings,id
public,coupons,id
public,coupons,valid_to
public,coupons,valid_from
public,coupons,company_id
public,customer_addresses,customer_id
public,customer_addresses,company_id
public,customer_addresses,id
public,customer_portal_accounts,id
public,customer_portal_accounts,customer_id
public,customer_reviews,job_id
public,customer_reviews,company_id
public,customer_reviews,customer_id
public,customer_reviews,id
public,customers,company_id
public,customers,id
public,customers_status_history,id
public,customers_status_history,customer_id
public,default_expense_categories,id
public,document_access_log,company_id
public,document_access_log,document_id
public,document_access_log,user_id
public,document_access_log,id
public,document_templates,company_id
public,document_templates,id
public,document_versions,id
public,document_versions,document_id
public,document_versions,previous_version_id
public,document_versions,company_id
public,document_workflows,id
public,document_workflows,document_id
public,document_workflows,company_id
public,documents,id
public,documents,parent_document_id
public,documents,company_id
public,employee_certifications,company_id
public,employee_certifications,id
public,employee_certifications,employee_id
public,employee_compensation,company_id
public,employee_compensation,id
public,employee_compensation,user_id
public,employee_development_goals,employee_id
public,employee_development_goals,id
public,employee_development_goals,company_id
public,employee_pay_rates,employee_id
public,employee_pay_rates,id
public,employee_pay_rates,company_id
public,employee_performance_reviews,employee_id
public,employee_performance_reviews,company_id
public,employee_performance_reviews,id
public,employee_performance_reviews,reviewer_id
public,employee_pto_balances,id
public,employee_pto_balances,company_id
public,employee_pto_balances,employee_id
public,employee_pto_policies,policy_id
public,employee_pto_policies,id
public,employee_pto_policies,employee_id
public,employee_recognition,id
public,employee_recognition,employee_id
public,employee_recognition,company_id
public,employee_skills,company_id
public,employee_skills,id
public,employee_skills,employee_id
public,employee_time_off,policy_id
public,employee_time_off,employee_id
public,employee_time_off,company_id
public,employee_time_off,id
public,employee_time_summary,employee_id
public,employee_time_summary,company_id
public,employee_time_summary,id
public,employee_timesheets,user_id
public,employee_timesheets,job_id
public,employee_timesheets,company_id
public,employee_timesheets,employee_id
public,employee_timesheets,id
public,employee_timesheets,total_paid_hours
public,employees,id
public,employees,company_id
public,esignatures,quote_id
public,esignatures,id
public,esignatures,company_id
public,esignatures,customer_id
public,esignatures,invoice_id
public,expense_categories,id
public,expense_categories,company_id
public,expense_reimbursements,expense_id
public,expense_reimbursements,employee_id
public,expense_reimbursements,id
public,expenses,project_id
public,expenses,company_id
public,expenses,id
public,expenses,user_id
public,integration_settings,twilio_account_sid
public,integration_settings,sendgrid_api_key
public,integration_settings,company_id
public,integration_settings,id
public,integration_tokens,company_id
public,integration_tokens,provider
public,integration_tokens,id
public,inventory_batches,id
public,inventory_batches,inventory_item_id
public,inventory_cycle_count_items,id
public,inventory_cycle_count_items,cycle_count_id
public,inventory_cycle_count_items,inventory_item_id
public,inventory_cycle_counts,company_id
public,inventory_cycle_counts,id
public,inventory_item_summary,item_id
public,inventory_items,company_id
public,inventory_items,id
public,inventory_locations,company_id
public,inventory_locations,id
public,inventory_movements,item_id
public,inventory_movements,related_work_order_id
public,inventory_movements,company_id
public,inventory_movements,id
public,inventory_movements,work_order_id
public,inventory_movements,location_id
public,inventory_scan_log,inventory_item_id
public,inventory_scan_log,id
public,inventory_serial_numbers,inventory_item_id
public,inventory_serial_numbers,id
public,inventory_stock,location_id
public,inventory_stock,company_id
public,inventory_stock,item_id
public,inventory_stock,id
public,inventory_stock_status,item_id
public,inventory_stock_status,location_id
public,inventory_stock_status,company_id
public,invoice_commissions,company_id
public,invoice_commissions,id
public,invoice_commissions,sales_rep_id
public,invoice_commissions,invoice_id
public,invoice_items,id
public,invoice_items,invoice_id
public,invoice_items,company_id
public,invoice_payments,invoice_id
public,invoice_payments,id
public,invoices,id
public,invoices,coupon_id
public,invoices,company_id
public,invoices,customer_id
public,invoices,job_id
public,items_catalog,id
public,items_catalog,company_id
public,job_assignments,work_order_id
public,job_assignments,id
public,job_assignments,job_id
public,job_assignments,employee_id
public,job_photos,company_id
public,job_photos,work_order_id
public,job_photos,job_id
public,job_photos,id
public,job_triggers,id
public,job_triggers,company_id
public,jobs_with_payment_status,work_order_id
public,jobs_with_payment_status,company_id
public,jobs_with_payment_status,customer_id
public,jobs_with_payment_status,invoice_id
public,lead_sources,company_id
public,lead_sources,id
public,leads,company_id
public,leads,customer_id
public,leads,lead_source_id
public,leads,id
public,messages,service_request_id
public,messages,id
public,messages,sender_id
public,messages,receiver_id
public,messages,job_id
public,messages,company_id
public,messages,conversation_id
public,messages,recipient_id
public,notification_settings,email_provider
public,notification_settings,company_id
public,notification_settings,id
public,notification_settings,sms_provider
public,notifications,id
public,notifications,company_id
public,notifications,user_id
public,notifications,related_id
public,opportunities,company_id
public,opportunities,id
public,opportunities,lead_id
public,opportunities,customer_id
public,opportunities,work_order_id
public,payments,id
public,payments,company_id
public,payments,paid_at
