table_name,constraint_name,definition
users,users_invited_by_user_id_fkey,FOREIGN KEY (invited_by_user_id) REFERENCES users(id) ON DELETE SET NULL
users,users_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
customers,customers_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
customers,customers_preferred_tech_id_fkey,FOREIGN KEY (preferred_technician) REFERENCES users(id)
job_photos,job_photos_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES users(id)
job_photos,fk_job_photos_company_id,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
job_photos,job_photos_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
invoices,invoices_coupon_id_fkey,FOREIGN KEY (coupon_id) REFERENCES coupons(id) ON DELETE SET NULL
invoices,invoices_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL
invoices,invoices_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
invoices,invoices_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
payments,payments_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
payments,payments_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
technician_locations,technician_locations_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
technician_locations,technician_locations_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
schedule_events,schedule_events_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE
schedule_events,schedule_events_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
schedule_events,schedule_events_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
schedule_events,schedule_events_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
schedule_events,schedule_events_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
schedule_events,schedule_events_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id)
messages,messages_service_request_id_fkey,FOREIGN KEY (service_request_id) REFERENCES service_requests(id) ON DELETE CASCADE
messages,messages_sender_id_fkey,FOREIGN KEY (sender_id) REFERENCES users(id) ON DELETE CASCADE
messages,messages_receiver_id_fkey,FOREIGN KEY (receiver_id) REFERENCES users(id) ON DELETE CASCADE
messages,messages_recipient_id_fkey,FOREIGN KEY (recipient_id) REFERENCES users(id) ON DELETE SET NULL
messages,messages_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
customer_reviews,customer_reviews_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
customer_reviews,customer_reviews_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
attachments,fk_attachments_company_id,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
attachments,attachments_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES users(id) ON DELETE SET NULL
service_contracts,service_contracts_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
service_contracts,service_contracts_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
settings,settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
integration_tokens,integration_tokens_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id)
user_permissions,user_permissions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
user_permissions,user_permissions_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
pending_schedule_requests,pending_schedule_requests_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
pending_schedule_requests,fk_psr_company,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
pending_schedule_requests,fk_psr_reviewer,FOREIGN KEY (reviewed_by) REFERENCES users(id) ON DELETE SET NULL
work_orders,work_orders_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE SET NULL
work_orders,work_orders_assigned_technician_id_fkey,FOREIGN KEY (assigned_technician_id) REFERENCES users(id)
work_orders,work_orders_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
work_orders,work_orders_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_orders,work_orders_parent_job_id_fkey,FOREIGN KEY (parent_job_id) REFERENCES work_orders(work_order_id) ON DELETE SET NULL
work_orders,work_orders_service_address_id_fkey,FOREIGN KEY (service_address_id) REFERENCES customer_addresses(id)
work_orders,work_orders_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id)
work_order_items,work_order_items_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
