event_object_table,trigger_name,action_statement
attachments,trg_attachments_company,EXECUTE FUNCTION enforce_attachments_company_match()
attachments,trg_attachments_company,EXECUTE FUNCTION enforce_attachments_company_match()
schedule_events,schedule_events_updated_at,EXECUTE FUNCTION handle_updated_at()
work_order_items,update_work_order_items_updated_at,EXECUTE FUNCTION update_updated_at_column()
work_order_items,work_order_items_updated_at,EXECUTE FUNCTION handle_updated_at()
work_order_labor,wol_aiu_recalc,EXECUTE FUNCTION trg_recalc_labor()
work_order_labor,wol_aiu_recalc,EXECUTE FUNCTION trg_recalc_labor()
work_order_labor,wol_aiu_recalc,EXECUTE FUNCTION trg_recalc_labor()
invoice_payments,trg_invoice_payments_status_bump,EXECUTE FUNCTION invoices_auto_status()
invoice_payments,trg_invoice_payments_status_bump,EXECUTE FUNCTION invoices_auto_status()
invoice_payments,trg_invoice_payments_status_bump,EXECUTE FUNCTION invoices_auto_status()
work_orders,t_sync_calendar,EXECUTE FUNCTION sync_schedule_event()
work_orders,t_sync_calendar,EXECUTE FUNCTION sync_schedule_event()
work_orders,trg_wo_stage_status_auto,EXECUTE FUNCTION wo_stage_status_auto()
work_orders,trg_work_orders_updated,EXECUTE FUNCTION set_updated_at()
work_orders,update_work_orders_updated_at,EXECUTE FUNCTION update_updated_at_column()
work_orders,work_order_audit_trigger,EXECUTE FUNCTION log_work_order_change()
work_orders,work_order_auto_numbering,EXECUTE FUNCTION auto_generate_work_order_numbers()
work_orders,work_order_auto_numbering,EXECUTE FUNCTION auto_generate_work_order_numbers()
work_orders,work_orders_updated_at,EXECUTE FUNCTION handle_updated_at()
invoices,invoices_auto_status_trigger,EXECUTE FUNCTION invoices_auto_status()
invoices,invoices_auto_status_trigger,EXECUTE FUNCTION invoices_auto_status()
invoices,invoices_paid_trigger,EXECUTE FUNCTION update_calendar_on_invoice()
invoices,invoices_updated_at,EXECUTE FUNCTION invoices_updated_at_fn()
invoice_items,invoice_items_recalc_trigger,EXECUTE FUNCTION invoice_items_recalc()
invoice_items,invoice_items_recalc_trigger,EXECUTE FUNCTION invoice_items_recalc()
invoice_items,invoices_update_total_trigger,EXECUTE FUNCTION invoices_update_total()
invoice_items,invoices_update_total_trigger,EXECUTE FUNCTION invoices_update_total()
invoice_items,invoices_update_total_trigger,EXECUTE FUNCTION invoices_update_total()
customers,trg_log_customer_status_change,EXECUTE FUNCTION log_customer_status_change()
users,trg_set_joined_at,EXECUTE FUNCTION set_joined_at()
users,update_users_updated_at,EXECUTE FUNCTION update_updated_at_column()
reimbursement_requests,trg_set_reimbursement_request_number,EXECUTE FUNCTION set_reimbursement_request_number()
inventory_movements,trigger_update_inventory_stock,EXECUTE FUNCTION update_inventory_stock()
inventory_movements,trigger_update_inventory_stock,EXECUTE FUNCTION update_inventory_stock()
purchase_orders,trigger_auto_generate_po_number,EXECUTE FUNCTION auto_generate_po_number()
purchase_orders,trigger_po_status_update_costs,EXECUTE FUNCTION trigger_update_vendor_costs()
purchase_orders,update_vendor_stats_trigger,EXECUTE FUNCTION update_vendor_stats()
purchase_orders,update_vendor_stats_trigger,EXECUTE FUNCTION update_vendor_stats()
purchase_orders,update_vendor_stats_trigger,EXECUTE FUNCTION update_vendor_stats()
vendors,vendors_status_change_trigger,EXECUTE FUNCTION log_vendor_status_change()
employee_time_off,trg_deduct_pto,EXECUTE FUNCTION deduct_pto_on_approval()
workflow_approvals,trigger_process_workflow_approval,EXECUTE FUNCTION process_workflow_approval()
workflow_approvals,trigger_process_workflow_approval,EXECUTE FUNCTION process_workflow_approval()
