table_name,column_name,data_type
invoice_commissions,commission_status,text
subcontractors,status,text
pending_schedule_requests,status,text
closed_jobs,status,text
subcontractor_work_orders,status,text
schedule_events,status,text
customers_status_history,from_status,text
customers_status_history,to_status,text
jobs_with_payment_status,invoice_status,text
jobs_with_payment_status,unified_status,text
customers,status,text
customers,status_reason,text
invoices,status,text
work_orders,status,text
work_orders,payment_status,text
users,status,text
messages,status,text
reimbursement_requests,status,text
employee_certifications,status,text
employee_performance_reviews,status,text
employee_development_goals,status,text
expenses,status,text
expenses,reimbursement_status,text
work_order_audit_log,old_status,text
work_order_audit_log,new_status,text
quotes,status,text
inventory_serial_numbers,status,text
purchase_orders,status,text
purchase_orders,approval_status,text
po_status_history,old_status,text
po_status_history,new_status,text
vendors,status,text
vendors,status_reason,text
vendors_status_history,from_status,text
vendors_status_history,to_status,text
po_approvals,status,text
employee_timesheets,status,text
inventory_cycle_counts,status,text
vw_timesheet_reports,status,text
vendor_catalog_v,stock_status,text
po_approval_workflows,status,text
service_requests,status,text
service_request_responses,status,text
employee_time_off,status,text
expense_reimbursements,status,text
pto_requests_backup_archive_202509,status,text
signature_requests,status,text
document_workflows,status,text
workflow_approvals,status,text
sales_pipeline,lead_status,text
leads,status,text
