table_name,conname,pg_get_constraintdef
companies,companies_email_unique,UNIQUE (email)
companies,companies_pkey,PRIMARY KEY (id)
users,users_invited_by_user_id_fkey,FOREIGN KEY (invited_by_user_id) REFERENCES users(id) ON DELETE SET NULL
users,users_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
users,users_email_key,UNIQUE (email)
users,users_role_check,"CHECK ((role = ANY (ARRAY['owner'::text, 'admin'::text, 'employee'::text])))"
users,users_pkey,PRIMARY KEY (id)
users,users_tier_check,"CHECK ((tier = ANY (ARRAY['free'::text, 'pro'::text, 'enterprise'::text])))"
users,users_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'inactive'::text, 'pending_invite'::text])))"
customers,customers_status_check,"CHECK ((status = ANY (ARRAY['active'::text, 'inactive'::text, 'suspended'::text, 'credit_hold'::text, 'do_not_service'::text])))"
customers,customers_preferred_tech_id_fkey,FOREIGN KEY (preferred_technician) REFERENCES users(id)
customers,customers_pkey,PRIMARY KEY (id)
customers,customers_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
customers,customers_customer_type_check,"CHECK ((customer_type = ANY (ARRAY['RESIDENTIAL'::text, 'COMMERCIAL'::text, 'PROPERTY_MANAGEMENT'::text])))"
job_photos,job_photos_pkey,PRIMARY KEY (id)
job_photos,job_photos_type_check,"CHECK ((type = ANY (ARRAY['BEFORE'::text, 'AFTER'::text, 'OTHER'::text])))"
job_photos,fk_job_photos_company_id,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
job_photos,job_photos_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
job_photos,job_photos_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES users(id)
invoices,invoices_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
invoices,invoices_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
invoices,invoices_pkey,PRIMARY KEY (id)
invoices,invoices_coupon_id_fkey,FOREIGN KEY (coupon_id) REFERENCES coupons(id) ON DELETE SET NULL
invoices,invoices_status_check,"CHECK ((status = ANY (ARRAY['UNPAID'::text, 'PAID'::text, 'OVERDUE'::text, 'PARTIALLY_PAID'::text, 'CANCELLED'::text])))"
invoices,invoices_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL
payments,payments_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
payments,payments_pkey,PRIMARY KEY (id)
payments,payments_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
technician_locations,technician_locations_pkey,PRIMARY KEY (id)
technician_locations,technician_locations_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
technician_locations,technician_locations_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
schedule_events,schedule_events_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE
schedule_events,schedule_events_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id)
schedule_events,schedule_events_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
schedule_events,schedule_events_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE CASCADE
schedule_events,schedule_events_pkey,PRIMARY KEY (id)
schedule_events,schedule_events_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
schedule_events,schedule_events_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
messages,messages_pkey,PRIMARY KEY (id)
messages,messages_recipient_id_fkey,FOREIGN KEY (recipient_id) REFERENCES users(id) ON DELETE SET NULL
messages,messages_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
messages,messages_type_check,"CHECK ((type = ANY (ARRAY['direct'::text, 'system'::text, 'job_request'::text])))"
messages,messages_status_check,"CHECK ((status = ANY (ARRAY['sent'::text, 'delivered'::text, 'read'::text, 'archived'::text])))"
messages,messages_sender_id_fkey,FOREIGN KEY (sender_id) REFERENCES users(id) ON DELETE CASCADE
messages,messages_receiver_id_fkey,FOREIGN KEY (receiver_id) REFERENCES users(id) ON DELETE CASCADE
messages,messages_message_type_check,"CHECK ((message_type = ANY (ARRAY['internal'::text, 'client'::text, 'system'::text])))"
messages,messages_service_request_id_fkey,FOREIGN KEY (service_request_id) REFERENCES service_requests(id) ON DELETE CASCADE
customer_reviews,customer_reviews_rating_check,CHECK (((rating >= 1) AND (rating <= 5)))
customer_reviews,customer_reviews_company_fk,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE RESTRICT
customer_reviews,customer_reviews_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
customer_reviews,customer_reviews_pkey,PRIMARY KEY (id)
attachments,fk_attachments_company_id,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
attachments,attachments_pkey,PRIMARY KEY (id)
attachments,attachments_uploaded_by_fkey,FOREIGN KEY (uploaded_by) REFERENCES users(id) ON DELETE SET NULL
service_contracts,service_contracts_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
service_contracts,service_contracts_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
service_contracts,service_contracts_pkey,PRIMARY KEY (id)
settings,ck_settings_default_invoice_terms_allowed,"CHECK ((default_invoice_terms = ANY (ARRAY['DUE_ON_RECEIPT'::text, 'NET_7'::text, 'NET_15'::text, 'NET_30'::text, 'NET_45'::text, 'NET_60'::text, 'CUSTOM'::text])))"
settings,ck_settings_default_invoice_due_days_nonneg,CHECK (((default_invoice_due_days IS NULL) OR (default_invoice_due_days >= 0)))
settings,settings_pkey,PRIMARY KEY (id)
settings,settings_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
settings,settings_default_invoice_due_days_check,CHECK (((default_invoice_due_days IS NULL) OR (default_invoice_due_days >= 0)))
settings,settings_scheduling_buffer_minutes_check,CHECK ((scheduling_buffer_minutes >= 0))
integration_tokens,integration_tokens_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id)
integration_tokens,integration_tokens_pkey,PRIMARY KEY (id)
user_permissions,user_permissions_pkey,PRIMARY KEY (id)
user_permissions,user_permissions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
user_permissions,user_permissions_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
pending_schedule_requests,pending_schedule_requests_pkey,PRIMARY KEY (id)
pending_schedule_requests,fk_psr_reviewer,FOREIGN KEY (reviewed_by) REFERENCES users(id) ON DELETE SET NULL
pending_schedule_requests,pending_schedule_requests_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
pending_schedule_requests,fk_psr_company,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
work_orders,work_orders_quote_number_key,UNIQUE (quote_number)
work_orders,work_orders_reminder_method_check,"CHECK (((reminder_method)::text = ANY ((ARRAY['email'::character varying, 'sms'::character varying])::text[])))"
work_orders,chk_work_orders_stage_status,CHECK ((((stage = 'QUOTE'::stage_enum) AND (quote_status IS NOT NULL)) OR ((stage = 'JOB'::stage_enum) AND (job_status IS NOT NULL)) OR ((stage = 'WORK_ORDER'::stage_enum) AND (work_status IS NOT NULL))))
