table_name,columns
account_lockouts,"id (uuid), user_id (uuid), email (text), locked_at (timestamp with time zone), unlock_at (timestamp with time zone), reason (text), failed_attempts (integer), is_active (boolean)"
approval_settings,"id (uuid), company_id (uuid), level2_threshold (numeric), level3_threshold (numeric), finance_required_card (boolean), auto_escalate_days (integer), allow_delegate (boolean), created_at (timestamp with time zone), updated_at (timestamp with time zone)"
attachments,"id (uuid), company_id (uuid), work_order_id (uuid), uploaded_by (uuid), file_url (text), file_name (text), file_type (text), file_size (integer), auto_tags (ARRAY), ocr_text (text), uploaded_at (timestamp with time zone), created_at (timestamp with time zone)"
audit_logs,"id (uuid), company_id (uuid), user_id (uuid), table_name (text), record_id (uuid), action (USER-DEFINED), old_values (jsonb), new_values (jsonb), ip_address (inet), user_agent (text), created_at (timestamp with time zone)"
auto_accept_rules,"id (uuid), requester_company_id (uuid), provider_company_id (uuid), service_category (text), max_amount (numeric), auto_accept (boolean), priority (integer), is_active (boolean), created_at (timestamp with time zone), updated_at (timestamp with time zone)"
avg_days_to_invoice,"company_id (uuid), jobs_invoiced (bigint), avg_days_to_invoice (numeric), min_days_to_invoice (numeric), max_days_to_invoice (numeric)"
avg_job_duration_by_company,"company_id (uuid), completed_jobs (bigint), avg_duration_hours (numeric), min_duration_hours (numeric), max_duration_hours (numeric)"
beta_feedback,"id (uuid), created_at (timestamp with time zone), company_id (uuid), user_id (uuid), page_path (text), user_agent (text), message (text), rating (integer), category (text), screenshot_url (text), metadata (jsonb)"
billing_plans,"id (uuid), name (text), description (text), price_monthly (numeric), price_yearly (numeric), features (jsonb), max_users (integer), max_work_orders (integer), is_active (boolean), created_at (timestamp with time zone)"
cancelled_jobs_analytics,"id (uuid), work_order_number (text), title (text), customer_id (uuid), customer_name (text), total_amount (numeric), status (USER-DEFINED), cancelled_at (timestamp with time zone), cancelled_by (uuid), cancelled_by_name (text), cancellation_reason (USER-DEFINED), cancellation_notes (text), cancellation_initiated_by (text), created_at (timestamp with time zone), company_id (uuid), days_to_cancellation (numeric)"
change_order_items,"id (uuid), company_id (uuid), change_order_id (uuid), item_type (text), description (text), category (text), quantity (numeric), unit_price (numeric), total (numeric), sort_order (integer), created_at (timestamp with time zone)"
change_orders,"id (uuid), company_id (uuid), work_order_id (uuid), change_order_number (text), title (text), description (text), reason (text), status (text), subtotal (numeric), discount_amount (numeric), tax_rate (numeric), tax_amount (numeric), total_amount (numeric), requested_by (uuid), approved_by_name (text), approved_by_email (text), signature_id (uuid), signature_data (text), created_at (timestamp with time zone), sent_at (timestamp with time zone), approved_at (timestamp with time zone), rejected_at (timestamp with time zone), updated_at (timestamp with time zone)"
changes_requested_analytics,"company_id (uuid), change_type (text), request_count (bigint), change_urgency (text), avg_quote_value (numeric)"
