schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,companies,companies_select_own,PERMISSIVE,{public},SELECT,(id = user_company_id()),null
public,companies,companies_update_own,PERMISSIVE,{public},UPDATE,(id = user_company_id()),(id = user_company_id())
public,customers,customers_delete_company,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customers,customers_insert_company,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customers,customers_select_company,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customers,customers_update_company,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,employee_permissions,employee_permissions_company_access,PERMISSIVE,{public},ALL,"(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.company_id = user_company_id())))","(user_id IN ( SELECT users.id
   FROM users
  WHERE (users.company_id = user_company_id())))"
public,job_completion_checklist,company_job_completion_checklist_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,job_completion_checklist,company_job_completion_checklist_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,job_completion_checklist,company_job_completion_checklist_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,job_completion_checklist,company_job_completion_checklist_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,job_photos,company_job_photos_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,job_photos,company_job_photos_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,job_photos,company_job_photos_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,job_photos,company_job_photos_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,login_attempts,company_login_attempts_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,login_attempts,company_login_attempts_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,login_attempts,company_login_attempts_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,login_attempts,company_login_attempts_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,marketplace_messages,company_marketplace_messages_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,marketplace_messages,company_marketplace_messages_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,marketplace_messages,company_marketplace_messages_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,marketplace_messages,company_marketplace_messages_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,marketplace_requests,company_marketplace_requests_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,marketplace_requests,company_marketplace_requests_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,marketplace_requests,company_marketplace_requests_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,marketplace_requests,company_marketplace_requests_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,marketplace_responses,company_marketplace_responses_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
