table_name,column_name,foreign_table_name,foreign_column_name,constraint_name
approval_settings,company_id,companies,id,approval_settings_company_id_fkey
attachments,uploaded_by,users,id,attachments_uploaded_by_fkey
attachments,work_order_id,work_orders,id,attachments_work_order_id_fkey
attachments,company_id,companies,id,attachments_company_id_fkey
audit_logs,user_id,users,id,audit_logs_user_id_fkey
audit_logs,company_id,companies,id,audit_logs_company_id_fkey
auto_accept_rules,requester_company_id,companies,id,auto_accept_rules_requester_company_id_fkey
auto_accept_rules,provider_company_id,companies,id,auto_accept_rules_provider_company_id_fkey
change_order_items,company_id,companies,id,change_order_items_company_id_fkey
change_order_items,change_order_id,change_orders,id,change_order_items_change_order_id_fkey
change_orders,requested_by,profiles,id,change_orders_requested_by_fkey
change_orders,company_id,companies,id,change_orders_company_id_fkey
change_orders,work_order_id,work_orders,id,change_orders_work_order_id_fkey
companies,created_by,users,id,companies_created_by_fkey
company_settings,company_id,companies,id,company_settings_consolidated_company_id_fkey
company_settings_old,company_id,companies,id,company_settings_company_id_fkey
company_tags,tag_id,tags,id,company_tags_tag_id_fkey
company_tags,company_id,companies,id,company_tags_company_id_fkey
customer_addresses,customer_id,customers,id,customer_addresses_customer_id_fkey
customer_addresses,company_id,companies,id,customer_addresses_company_id_fkey
customer_communications,work_order_id,work_orders,id,customer_communications_work_order_id_fkey
customer_communications,customer_id,customers,id,customer_communications_customer_id_fkey
customer_communications,company_id,companies,id,customer_communications_company_id_fkey
customer_communications,created_by,users,id,customer_communications_created_by_fkey
customer_equipment,customer_address_id,customer_addresses,id,customer_equipment_customer_address_id_fkey
customer_equipment,customer_id,customers,id,customer_equipment_customer_id_fkey
customer_equipment,company_id,companies,id,customer_equipment_company_id_fkey
customer_equipment,installed_by,employees,id,customer_equipment_installed_by_fkey
customer_feedback,work_order_id,work_orders,id,customer_feedback_work_order_id_fkey
customer_feedback,company_id,companies,id,customer_feedback_company_id_fkey
customer_feedback,customer_id,customers,id,customer_feedback_customer_id_fkey
customer_portal_activity,work_order_id,work_orders,id,customer_portal_activity_work_order_id_fkey
customer_portal_activity,customer_id,customers,id,customer_portal_activity_customer_id_fkey
customer_tag_assignments,company_id,companies,id,customer_tag_assignments_company_id_fkey
customer_tag_assignments,assigned_by,users,id,customer_tag_assignments_assigned_by_fkey
customer_tag_assignments,customer_id,customers,id,customer_tag_assignments_customer_id_fkey
customer_tag_assignments,tag_id,customer_tags,id,customer_tag_assignments_tag_id_fkey
customer_tags,company_id,companies,id,customer_tags_company_id_fkey
customers,company_id,companies,id,customers_company_id_fkey
document_templates,company_id,companies,id,document_templates_company_id_fkey
documents,customer_id,customers,id,documents_customer_id_fkey
documents,work_order_id,work_orders,id,documents_work_order_id_fkey
documents,created_by,users,id,documents_created_by_fkey
documents,company_id,companies,id,documents_company_id_fkey
email_senders,company_id,companies,id,email_senders_company_id_fkey
employee_delegates,company_id,companies,id,employee_delegates_company_id_fkey
employee_delegates,employee_id,employees,id,employee_delegates_employee_id_fkey
employee_delegates,delegate_employee_id,employees,id,employee_delegates_delegate_employee_id_fkey
employee_permissions,user_id,users,id,employee_permissions_user_id_fkey
employee_permissions,company_id,companies,id,employee_permissions_company_id_fkey
employee_skills,company_id,companies,id,employee_skills_company_id_fkey
employee_skills,employee_id,employees,id,employee_skills_employee_id_fkey
employee_skills,skill_id,skills,id,employee_skills_skill_id_fkey
employee_time_off,company_id,companies,id,employee_time_off_company_id_fkey
employee_time_off,approved_by,users,id,employee_time_off_approved_by_fkey
employee_time_off,created_by,users,id,employee_time_off_created_by_fkey
employee_time_off,employee_id,employees,id,employee_time_off_employee_id_fkey
employee_timesheets,user_id,users,id,employee_timesheets_user_id_fkey
